id,course_information,postgraduate_or_undergraduate,field_of_education,age,gender,citizenship,term_residence,permanent_residence,basis_for_admission,type_of_attendance,mode_of_attendance,country_of_birth,language_spoken_at_home,year_of_arrival_in_usa,entrance_score,equity_data,highest_level_of_education_prior_to_commencement,course_completion_year,course_gpa_earned
173,PPM,Postgraduate,Computer Science,1/3/1994,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,312,,Professional Certification,2014,3.78
174,Global PPM,Postgraduate,Computer Science,6/4/1992,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2011,302,,Diploma,2011,3.93
175,MSIT,Undergraduate,Computer Science,27/08/1982,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2005,335,Women in non-traditional areas,Baccalaureate,2012,3.48
176,Global PPM,Postgraduate,Computer Science,6/5/1989,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2005,310,low-income,Post-graduate,2011,3.79
177,MISM,Undergraduate,Computer Science,12/11/1997,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2012,320,,Professional Certification,2013,3.74
178,PPM,Postgraduate,Computer Science,23/06/1982,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2006,300,,Professional Certification,2014,3.8
179,MSIT,Undergraduate,Computer Science,1/3/1982,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2012,316,Disability,Baccalaureate,2012,3.42
180,MISM,Undergraduate,Computer Science,29/09/1997,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2011,332,,Post-graduate,2012,3.77
181,PPM,Postgraduate,Computer Science,22/01/1995,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2009,336,,Professional Certification,2011,3.62
182,Global MISM,Undergraduate,Computer Science,20/03/1981,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2004,302,Regional/ Remote,Baccalaureate,2010,3.86
183,MSIT,Postgraduate,Computer Science,2/6/1993,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2010,314,,Baccalaureate,2012,3.81
184,PPM,Undergraduate,Computer Science,4/6/1982,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2009,330,Women in non-traditional areas,Baccalaureate,2011,3.22
185,PPM,Postgraduate,Computer Science,14/04/1982,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2012,320,,Post-graduate,2014,3.25
186,MISM,Postgraduate,Computer Science,23/04/1996,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2006,329,,Diploma,2013,3.64
187,MSIT,Undergraduate,Computer Science,17/09/1994,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2010,300,,Diploma,2014,3.81
188,MISM,Postgraduate,Computer Science,1/3/1981,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2008,337,,Post-graduate,2014,3.42
189,MISM,Postgraduate,Computer Science,27/09/1991,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2009,315,Regional/ Remote,Post-graduate,2014,3.57
190,MISM,Undergraduate,Computer Science,22/08/1984,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2004,319,,Professional Certification,2010,3.39
191,Global PPM,Undergraduate,Computer Science,20/04/1983,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2011,304,,Post-graduate,2012,3.82
192,Global MISM,Postgraduate,Computer Science,1/3/1988,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2009,322,,Baccalaureate,2014,3.88
193,MISM,Postgraduate,Computer Science,18/10/1996,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,329,,Post-graduate,2013,3.6
194,Global PPM,Undergraduate,Computer Science,20/11/1987,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,326,,Professional Certification,2012,3.55
195,PPM,Undergraduate,Computer Science,5/5/1983,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2004,333,Regional/ Remote,Baccalaureate,2012,3.89
196,MSIT,Postgraduate,Computer Science,6/5/1989,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2006,312,,Post-graduate,2013,3.31
197,PPM,Undergraduate,Computer Science,2/2/1992,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2005,310,,Professional Certification,2010,3.63
198,MSIT,Undergraduate,Computer Science,29/10/1993,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2006,320,Regional/ Remote,Professional Certification,2014,3.32
199,PPM,Undergraduate,Computer Science,2/1/1991,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2009,302,,Professional Certification,2013,4
200,PPM,Postgraduate,Computer Science,8/6/1983,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2006,340,,Baccalaureate,2013,3.47
201,Global PPM,Undergraduate,Computer Science,25/05/1981,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,333,,Post-graduate,2014,3.85
202,Global MISM,Undergraduate,Computer Science,9/1/1991,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2004,336,,Post-graduate,2014,3.5
203,Global MISM,Undergraduate,Computer Science,14/07/1986,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2010,338,,Post-graduate,2013,3.93
204,Global MISM,Undergraduate,Computer Science,28/09/1981,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2011,334,Disability,Diploma,2012,3.55
205,MSIT,Postgraduate,Computer Science,1/11/1997,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2012,314,,Baccalaureate,2012,3.55
206,PPM,Undergraduate,Computer Science,2/9/1991,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2006,325,Regional/ Remote,Professional Certification,2012,3.91
207,MISM,Undergraduate,Computer Science,5/1/1988,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2009,338,,Diploma,2013,3.61
208,MSIT,Postgraduate,Computer Science,31/12/1985,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2012,310,,Post-graduate,2011,3.71
209,Global MISM,Postgraduate,Computer Science,27/11/1994,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2010,312,low-income,Baccalaureate,2010,3.66
210,MISM,Postgraduate,Computer Science,11/10/1992,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2005,306,,Post-graduate,2012,3.46
211,PPM,Postgraduate,Computer Science,28/10/1980,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,323,,Professional Certification,2013,3.77
212,Global MISM,Undergraduate,Computer Science,24/07/1985,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2004,300,,Baccalaureate,2011,3.9
213,MSIT,Undergraduate,Computer Science,24/05/1989,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,325,Women in non-traditional areas,Post-graduate,2013,3.21
214,PPM,Undergraduate,Computer Science,3/12/1997,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2009,327,low-income,Post-graduate,2012,3.32
215,Global PPM,Undergraduate,Computer Science,25/06/1984,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2010,307,,Diploma,2010,3.43
216,MISM,Postgraduate,Computer Science,20/06/1990,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2004,306,Women in non-traditional areas,Post-graduate,2010,3.91
217,Global PPM,Postgraduate,Computer Science,22/10/1991,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2012,306,,Baccalaureate,2011,3.86
218,PPM,Undergraduate,Computer Science,7/1/1997,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,319,,Professional Certification,2011,3.42
219,MSIT,Undergraduate,Computer Science,25/10/1997,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2011,321,,Professional Certification,2011,3.7
220,MISM,Postgraduate,Computer Science,26/09/1982,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2006,315,,Professional Certification,2011,3.38
221,MISM,Postgraduate,Computer Science,4/2/1991,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2005,319,Disability,Baccalaureate,2010,3.48
222,MISM,Postgraduate,Computer Science,14/09/1992,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2004,316,,Professional Certification,2011,3.45
223,MISM,Undergraduate,Computer Science,28/04/1990,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2006,310,Disability,Post-graduate,2014,3.76
224,PPM,Postgraduate,Computer Science,6/9/1986,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,312,Disability,Baccalaureate,2012,3.3
225,Global MISM,Postgraduate,Computer Science,12/4/1986,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2010,328,,Diploma,2012,3.62
226,MSIT,Postgraduate,Computer Science,24/07/1988,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,318,Women in non-traditional areas,Diploma,2011,3.61
227,MISM,Postgraduate,Computer Science,20/11/1997,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2004,310,,Professional Certification,2013,3.86
228,MISM,Postgraduate,Computer Science,14/09/1986,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2004,331,Disability,Baccalaureate,2014,3.62
229,PPM,Postgraduate,Computer Science,13/08/1992,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2012,338,,Baccalaureate,2011,3.36
230,Global PPM,Postgraduate,Computer Science,12/6/1996,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2006,320,,Baccalaureate,2010,3.63
231,Global PPM,Undergraduate,Computer Science,28/06/1980,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,304,low-income,Professional Certification,2013,3.61
232,Global MISM,Postgraduate,Computer Science,29/07/1981,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2012,334,,Diploma,2013,3.62
233,Global PPM,Postgraduate,Computer Science,26/12/1984,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2009,306,,Professional Certification,2010,3.89
234,MSIT,Postgraduate,Computer Science,3/12/1980,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2009,334,,Professional Certification,2011,3.94
235,Global PPM,Undergraduate,Computer Science,16/03/1991,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2008,332,,Professional Certification,2014,3.54
236,PPM,Postgraduate,Computer Science,9/3/1988,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2005,315,,Post-graduate,2012,3.66
237,Global MISM,Undergraduate,Computer Science,11/3/1996,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2007,333,Women in non-traditional areas,Baccalaureate,2010,3.31
238,MSIT,Postgraduate,Computer Science,22/09/1996,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2005,315,Women in non-traditional areas,Diploma,2013,3.35
239,MSIT,Undergraduate,Computer Science,12/1/1997,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2007,305,,Post-graduate,2011,3.66
240,MSIT,Postgraduate,Computer Science,14/08/1980,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,320,Disability,Diploma,2012,3.6
241,MISM,Postgraduate,Computer Science,5/11/1986,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,333,low-income,Baccalaureate,2014,3.55
242,MSIT,Undergraduate,Computer Science,4/2/1994,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2011,323,Women in non-traditional areas,Professional Certification,2014,3.45
243,Global PPM,Postgraduate,Computer Science,3/2/1987,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2004,305,Women in non-traditional areas,Baccalaureate,2011,3.28
244,Global PPM,Postgraduate,Computer Science,11/10/1981,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2009,338,,Baccalaureate,2012,3.94
245,PPM,Postgraduate,Computer Science,14/01/1994,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,312,,Professional Certification,2012,3.22
246,PPM,Postgraduate,Computer Science,24/10/1989,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2011,333,Disability,Diploma,2010,3.85
247,MSIT,Postgraduate,Computer Science,23/02/1986,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2009,313,Disability,Post-graduate,2012,3.67
248,PPM,Postgraduate,Computer Science,23/11/1983,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2012,304,,Professional Certification,2012,3.54
249,Global PPM,Undergraduate,Computer Science,15/01/1994,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2004,300,,Post-graduate,2012,4
250,Global MISM,Postgraduate,Computer Science,19/09/1996,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2004,323,,Professional Certification,2011,3.52
251,PPM,Undergraduate,Computer Science,5/2/1990,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2005,307,,Diploma,2011,3.77
252,MISM,Undergraduate,Computer Science,24/05/1981,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2011,314,,Diploma,2013,3.99
253,PPM,Undergraduate,Computer Science,23/01/1982,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,313,,Diploma,2011,3.8
254,PPM,Undergraduate,Computer Science,10/1/1994,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,324,,Baccalaureate,2012,3.26
255,Global PPM,Undergraduate,Computer Science,16/12/1982,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2006,301,,Diploma,2013,3.55
256,Global PPM,Postgraduate,Computer Science,19/01/1982,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2004,327,,Diploma,2010,3.37
257,MSIT,Undergraduate,Computer Science,24/03/1991,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2004,331,,Post-graduate,2013,3.82
258,MSIT,Undergraduate,Computer Science,10/4/1989,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,324,,Diploma,2010,3.58
259,PPM,Undergraduate,Computer Science,22/04/1992,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2009,323,,Professional Certification,2011,3.96
260,Global MISM,Postgraduate,Computer Science,14/12/1992,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2005,309,low-income,Baccalaureate,2011,3.7
261,Global PPM,Undergraduate,Computer Science,3/5/1993,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,315,,Diploma,2010,3.47
262,MSIT,Undergraduate,Computer Science,24/06/1989,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,302,,Professional Certification,2012,3.86
263,Global MISM,Postgraduate,Computer Science,14/05/1980,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2005,336,,Baccalaureate,2014,3.43
264,Global MISM,Postgraduate,Computer Science,26/08/1995,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2008,313,,Professional Certification,2011,3.98
265,MSIT,Postgraduate,Computer Science,17/11/1991,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2004,319,,Diploma,2012,3.39
266,MISM,Undergraduate,Computer Science,8/3/1985,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2007,323,,Diploma,2010,3.99
267,Global PPM,Postgraduate,Computer Science,24/12/1987,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2004,310,low-income,Diploma,2011,3.9
268,Global MISM,Undergraduate,Computer Science,26/04/1990,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2012,312,,Baccalaureate,2014,3.31
269,Global MISM,Undergraduate,Computer Science,13/02/1984,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2012,306,Women in non-traditional areas,Post-graduate,2010,3.81
270,Global MISM,Undergraduate,Computer Science,17/08/1991,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2008,315,,Professional Certification,2010,3.95
271,MISM,Undergraduate,Computer Science,15/12/1982,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,336,,Diploma,2014,3.33
272,PPM,Undergraduate,Computer Science,9/12/1988,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2006,319,,Diploma,2011,3.85
273,PPM,Postgraduate,Computer Science,4/11/1985,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2005,302,,Baccalaureate,2010,3.71
274,Global PPM,Postgraduate,Computer Science,19/02/1997,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2010,314,,Baccalaureate,2012,3.46
275,MISM,Undergraduate,Computer Science,21/12/1985,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2005,334,low-income,Post-graduate,2011,3.96
276,Global MISM,Postgraduate,Computer Science,2/8/1991,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2004,303,,Baccalaureate,2010,3.3
277,MSIT,Undergraduate,Computer Science,7/2/1985,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2012,309,Disability,Professional Certification,2012,3.63
278,Global MISM,Undergraduate,Computer Science,21/01/1987,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2009,328,low-income,Baccalaureate,2014,3.22
279,Global PPM,Undergraduate,Computer Science,20/01/1980,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2007,302,,Diploma,2013,3.3
280,MSIT,Undergraduate,Computer Science,15/12/1981,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2008,325,,Diploma,2014,3.22
281,MSIT,Postgraduate,Computer Science,22/04/1980,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2010,332,Women in non-traditional areas,Professional Certification,2011,3.41
282,Global PPM,Undergraduate,Computer Science,10/6/1988,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2012,332,,Baccalaureate,2014,3.99
283,MISM,Postgraduate,Computer Science,28/07/1995,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2010,313,,Diploma,2010,3.61
284,PPM,Undergraduate,Computer Science,21/07/1996,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2012,310,,Post-graduate,2010,3.6
285,Global PPM,Postgraduate,Computer Science,10/3/1982,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2006,316,,Diploma,2012,3.63
286,MSIT,Undergraduate,Computer Science,17/01/1990,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2005,328,,Professional Certification,2012,3.77
287,PPM,Undergraduate,Computer Science,2/3/1992,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,331,,Post-graduate,2014,3.8
288,Global PPM,Postgraduate,Computer Science,21/11/1987,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2009,300,,Professional Certification,2010,3.6
289,Global PPM,Postgraduate,Computer Science,6/6/1997,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,330,,Post-graduate,2014,3.8
290,MISM,Postgraduate,Computer Science,16/01/1983,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2011,319,,Professional Certification,2010,3.68
291,PPM,Postgraduate,Computer Science,26/01/1989,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,326,,Baccalaureate,2012,3.81
292,MISM,Undergraduate,Computer Science,26/08/1985,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2012,335,Regional/ Remote,Baccalaureate,2014,3.54
293,MISM,Postgraduate,Computer Science,23/12/1991,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2005,331,,Professional Certification,2012,3.44
294,Global MISM,Undergraduate,Computer Science,30/05/1980,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2009,314,,Post-graduate,2014,3.37
295,Global PPM,Postgraduate,Computer Science,11/5/1991,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,335,,Post-graduate,2013,3.27
296,PPM,Postgraduate,Computer Science,17/01/1997,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,330,,Professional Certification,2013,3.89
297,Global MISM,Undergraduate,Computer Science,9/6/1983,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2005,314,,Post-graduate,2011,3.63
298,Global MISM,Undergraduate,Computer Science,16/07/1997,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2009,327,,Diploma,2014,3.84
299,MISM,Undergraduate,Computer Science,16/04/1988,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2012,306,,Post-graduate,2012,3.46
300,MSIT,Undergraduate,Computer Science,27/10/1994,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2004,323,,Baccalaureate,2014,3.34
301,Global MISM,Undergraduate,Computer Science,6/9/1993,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2007,309,Women in non-traditional areas,Professional Certification,2010,3.97
302,Global MISM,Undergraduate,Computer Science,14/01/1994,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2008,313,low-income,Professional Certification,2012,3.48
303,PPM,Undergraduate,Computer Science,3/1/1985,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2006,337,,Diploma,2010,3.58
304,MISM,Postgraduate,Computer Science,7/3/1981,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2007,333,,Professional Certification,2012,3.87
305,PPM,Undergraduate,Computer Science,8/5/1993,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2009,306,,Professional Certification,2010,3.48
306,Global MISM,Postgraduate,Computer Science,8/1/1981,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,308,,Diploma,2013,3.81
307,PPM,Undergraduate,Computer Science,29/08/1996,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2010,314,,Baccalaureate,2012,3.24
308,MSIT,Postgraduate,Computer Science,13/02/1982,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2009,331,,Professional Certification,2012,3.72
309,Global MISM,Undergraduate,Computer Science,31/07/1995,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2010,338,,Baccalaureate,2010,3.43
310,Global PPM,Postgraduate,Computer Science,2/10/1986,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2008,307,,Diploma,2010,3.55
311,Global PPM,Postgraduate,Computer Science,30/07/1990,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,323,,Baccalaureate,2011,3.58
312,Global MISM,Postgraduate,Computer Science,13/08/1991,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,310,,Post-graduate,2014,3.95
313,PPM,Undergraduate,Computer Science,15/12/1997,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2010,336,,Diploma,2013,3.6
314,PPM,Postgraduate,Computer Science,19/10/1980,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2012,310,Women in non-traditional areas,Diploma,2011,3.96
315,PPM,Postgraduate,Computer Science,26/02/1987,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2009,316,,Baccalaureate,2010,3.61
316,Global MISM,Undergraduate,Computer Science,4/3/1985,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2012,339,Disability,Diploma,2010,3.53
317,Global MISM,Postgraduate,Computer Science,11/6/1983,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2011,327,,Professional Certification,2010,3.87
318,MISM,Undergraduate,Computer Science,12/4/1996,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2004,320,,Professional Certification,2014,3.34
319,PPM,Postgraduate,Computer Science,8/11/1986,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2004,309,,Baccalaureate,2011,3.62
320,Global PPM,Undergraduate,Computer Science,9/3/1982,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2009,335,,Baccalaureate,2010,3.82
321,PPM,Undergraduate,Computer Science,14/04/1989,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2010,300,Regional/ Remote,Post-graduate,2011,3.95
322,Global MISM,Undergraduate,Computer Science,22/12/1991,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2012,332,Regional/ Remote,Professional Certification,2013,3.76
323,Global PPM,Undergraduate,Computer Science,16/06/1992,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2009,323,,Baccalaureate,2014,3.23
324,MSIT,Undergraduate,Computer Science,4/8/1991,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2004,315,,Post-graduate,2012,3.85
325,PPM,Undergraduate,Computer Science,9/4/1987,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2010,325,,Professional Certification,2014,3.35
326,MISM,Postgraduate,Computer Science,2/3/1982,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2006,333,,Baccalaureate,2011,3.93
327,MSIT,Undergraduate,Computer Science,19/12/1991,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,339,Disability,Diploma,2012,3.93
328,MISM,Undergraduate,Computer Science,11/9/1990,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2010,339,,Diploma,2012,3.67
329,Global PPM,Postgraduate,Computer Science,20/12/1982,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2008,311,,Post-graduate,2010,3.47
330,MSIT,Postgraduate,Computer Science,18/03/1988,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2007,309,,Post-graduate,2012,3.49
331,PPM,Undergraduate,Computer Science,15/10/1993,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2005,316,,Professional Certification,2013,3.45
332,PPM,Postgraduate,Computer Science,14/08/1984,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2012,310,,Baccalaureate,2011,3.97
333,MSIT,Postgraduate,Computer Science,12/10/1984,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2012,316,,Diploma,2014,3.67
334,PPM,Undergraduate,Computer Science,4/10/1986,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2009,332,,Diploma,2013,3.36
335,Global MISM,Undergraduate,Computer Science,17/04/1993,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2004,311,low-income,Post-graduate,2011,3.82
336,MISM,Undergraduate,Computer Science,7/6/1987,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2006,334,,Post-graduate,2014,3.94
337,MISM,Postgraduate,Computer Science,1/4/1996,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,304,,Post-graduate,2014,3.77
338,Global MISM,Postgraduate,Computer Science,11/3/1994,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2007,306,Disability,Professional Certification,2011,3.38
339,Global MISM,Postgraduate,Computer Science,14/09/1995,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,338,,Diploma,2014,3.47
340,PPM,Undergraduate,Computer Science,9/3/1987,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2010,325,,Diploma,2011,3.54
